code,month,year,total_flights,total_delays,total_time,ratio_delayed
ATL,January,2014,30784,7528,546815,24.454261954261955
DEN,January,2014,17955,5218,329439,29.061542745753272
IAD,January,2014,4688,1198,90522,25.554607508532424
ORD,January,2014,21529,6509,494069,30.23363834827442
SAN,January,2014,6086,1566,87893,25.731186329280316
SFO,January,2014,13539,3387,202325,25.016618657212497
SLC,January,2014,8676,1671,100598,19.26002766251729
ATL,February,2014,27982,4884,292859,17.454077621327997
DEN,February,2014,16179,4532,252663,28.01162000123617
IAD,February,2014,4222,818,54273,19.374703931785884
ORD,February,2014,19812,5332,355785,26.91298203109227
SAN,February,2014,5485,1515,73510,27.620783956244306
SFO,February,2014,12081,4516,332440,37.38101150567006
SLC,February,2014,7807,1295,68580,16.587677725118482
ATL,March,2014,32702,6001,339059,18.350559598801297
DEN,March,2014,18996,4145,226910,21.820383238576543
IAD,March,2014,5215,973,62756,18.65771812080537
ORD,March,2014,22922,5293,323521,23.09135328505366
SAN,March,2014,6430,1326,57384,20.62208398133748
SFO,March,2014,13846,3335,185666,24.086378737541526
SLC,March,2014,9371,1254,61800,13.38170952939921
ATL,April,2014,31117,5240,288128,16.839669633962142
DEN,April,2014,17455,3072,165260,17.599541678602122
IAD,April,2014,4987,897,51034,17.98676559053539
ORD,April,2014,23234,5456,335434,23.482826891624345
SAN,April,2014,6255,1292,59395,20.655475619504397
SFO,April,2014,13734,2908,174688,21.173729430610162
SLC,April,2014,8728,1022,52265,11.709440879926673
ATL,May,2014,31799,5135,309830,16.148306550520456
DEN,May,2014,18997,4224,254326,22.23508975101332
IAD,May,2014,5105,1076,76136,21.07737512242899
ORD,May,2014,24634,7137,463309,28.9721523098157
SAN,May,2014,6450,1342,65506,20.806201550387595
SFO,May,2014,14164,3704,204974,26.15080485738492
SLC,May,2014,8804,1034,58251,11.744661517492048
ATL,June,2014,30945,6226,381488,20.11956697366295
DEN,June,2014,19708,4810,292769,24.406332453825858
IAD,June,2014,4936,1308,89278,26.499189627228525
ORD,June,2014,25381,9004,617288,35.47535558094638
SAN,June,2014,6742,1779,92357,26.386828834173837
SFO,June,2014,14372,4560,263334,31.728360701363762
SLC,June,2014,9503,1391,81921,14.6374829001368
ATL,July,2014,31798,4685,293940,14.733631045977734
DEN,July,2014,20773,4826,290213,23.23208010398113
IAD,July,2014,5128,1107,78762,21.587363494539783
ORD,July,2014,25885,6148,355350,23.751207262893566
SAN,July,2014,7193,1658,90171,23.050187682469065
SFO,July,2014,14951,4358,264139,29.14855193632533
SLC,July,2014,10031,1361,77515,13.567939387897518
ATL,August,2014,31608,4944,353250,15.641609719058467
DEN,August,2014,20184,4033,237330,19.9811732065002
IAD,August,2014,5060,1010,62655,19.960474308300398
ORD,August,2014,25717,8217,562982,31.95162732822647
SAN,August,2014,6928,1351,69492,19.500577367205544
SFO,August,2014,14766,3705,213593,25.091426249492077
SLC,August,2014,10043,1254,67718,12.48630887185104
ATL,September,2014,30198,5801,312413,19.20988144910259
DEN,September,2014,18907,2881,165681,15.23774263500291
IAD,September,2014,4857,870,52256,17.91229153798641
ORD,September,2014,24905,5724,390547,22.98333667938165
SAN,September,2014,6228,946,45644,15.189466923570972
SFO,September,2014,13871,3429,192709,24.72064018455771
SLC,September,2014,9108,906,50464,9.947299077733861
ATL,October,2014,31613,4762,267929,15.063423275234872
DEN,October,2014,19411,2990,159506,15.403637112977178
IAD,October,2014,5055,1064,59562,21.048466864490603
ORD,October,2014,26310,9148,587209,34.77004941087039
SAN,October,2014,6528,1002,46017,15.349264705882353
SFO,October,2014,14489,3362,201417,23.203809786734762
SLC,October,2014,9233,876,43142,9.487707137441785
ATL,November,2014,29296,3420,184228,11.67394866193337
DEN,November,2014,17296,3317,195671,19.177844588344126
IAD,November,2014,4412,712,47050,16.13780598368087
ORD,November,2014,23564,5093,297995,21.613478187065013
SAN,November,2014,6068,983,47517,16.199736321687542
SFO,November,2014,13243,3578,237434,27.018047270255984
SLC,November,2014,8457,1152,64233,13.62185172046825
ATL,December,2014,30000,3770,212463,12.566666666666668
